Plats,År,Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5,Varv 6
FMCK Skövde,2023,42,Motion 50-59,1367,Anders Olsson,Götene MK,4,58:25.3,13:37.7,15:24.1,14:33.0,14:50.4,,
FMCK Skövde,2023,43,Motion 50-59,1219,björn sandstedt,Götene MK,4,58:35.0,14:17.7,14:38.0,14:24.2,15:14.9,,
FMCK Skövde,2023,44,Motion 50-59,1202,Per-Olov Ask,Lilla Edets MCK,4,58:39.2,13:46.6,14:32.2,14:00.2,16:20.1,,
FMCK Skövde,2023,45,Motion 50-59,1240,Mikael Öhrn,Karlskoga EK,4,58:55.0,14:47.3,14:35.4,14:22.6,15:09.6,,
FMCK Skövde,2023,46,Motion 50-59,1293,Niclas Starck,Wäxjö MS,4,59:10.1,14:05.9,15:05.8,14:33.9,15:24.3,,
FMCK Skövde,2023,47,Ungdom E0,61,Anton Magnusson,Norrahammars MK,4,59:22.5,14:54.3,15:00.1,14:35.7,14:52.3,,
FMCK Skövde,2023,48,Motion 50-59,1427,Jonas Laigar,Tranemo MK,4,59:25.0,14:40.9,14:42.8,14:48.8,15:12.3,,
FMCK Skövde,2023,49,Motion 50-59,1241,Alf Thomas Johansson,Götene MK,4,59:26.8,14:43.2,14:56.4,14:27.1,15:19.9,,
FMCK Skövde,2023,50,Motion 50-59,1234,Johan Karlsson,Falköpings MK,4,59:53.1,14:39.8,14:39.6,15:00.8,15:32.8,,
FMCK Skövde,2023,51,Motion 50-59,1226,Hans Svärd,Alingsås MCK,4,00:02.2,14:30.1,15:15.7,15:01.2,15:15.0,,
FMCK Skövde,2023,52,Motion Dam,452,Lina Petersson,Solshesters MCK,4,00:18.6,14:44.2,15:30.2,14:03.5,16:00.6,,
FMCK Skövde,2023,53,Motion 50-59,1238,Tomas Sjöquist,Försvarsmaktens EK,4,00:32.2,16:43.7,14:49.8,14:06.6,14:52.0,,
FMCK Skövde,2023,54,Motion 60-,1523,Mikael Kristensson,MCK Hallandia,4,01:19.5,15:15.0,15:28.2,14:49.9,15:46.2,,
FMCK Skövde,2023,55,Motion 50-59,1251,Sören Larsson,FMCK Borås,4,01:45.4,15:44.4,15:35.8,15:13.4,15:11.6,,
FMCK Skövde,2023,56,Motion 50-59,1260,Mathias Svensson,Skene MS,4,01:47.4,15:32.0,15:26.9,15:09.2,15:39.3,,
FMCK Skövde,2023,57,Motion 50-59,1254,Jörgen Rutgersson,Stenungsunds MS,4,01:54.9,16:17.7,15:08.2,14:52.8,15:36.2,,
FMCK Skövde,2023,58,Motion 50-59,1221,Benny Andersson,Kullings MS,4,02:14.5,14:45.7,15:32.4,15:22.7,16:33.6,,
FMCK Skövde,2023,59,Motion 50-59,1279,Stefan Johansson,FMCK Skövde,4,02:51.7,14:40.7,14:47.5,15:52.9,17:30.5,,
FMCK Skövde,2023,60,Motion 60-,1504,Håkan Svensson,FMCK Eksjö,4,02:56.9,15:04.8,15:32.5,15:56.5,16:22.9,,
FMCK Skövde,2023,61,Ungdom E0,94,Wilje Bogren,Töreboda MK,4,02:58.4,16:12.2,15:42.6,15:04.4,15:59.0,,
FMCK Skövde,2023,62,Motion 50-59,1262,Jörgen Petersson,Oskarshamns MSK,4,03:17.9,16:08.4,15:18.3,16:13.2,15:37.9,,
FMCK Skövde,2023,63,Motion 50-59,1208,Marcus Ljung,SMK Trollhättan,4,03:25.1,14:27.9,16:06.8,16:07.8,16:42.4,,
FMCK Skövde,2023,64,Motion 50-59,1304,Henrik Karlsson,Stenungsunds MS,4,03:31.9,16:13.9,15:45.3,14:51.1,16:41.4,,
FMCK Skövde,2023,65,Motion 50-59,1311,Fredrik Eisner,Alingsås MCK,4,03:34.0,16:21.4,15:29.9,15:35.8,16:06.8,,
FMCK Skövde,2023,66,Motion 50-59,1204,Peter Damgren,FMCK Skövde,4,04:02.0,14:24.6,15:37.8,16:13.8,17:45.6,,
FMCK Skövde,2023,67,Ungdom E0,37,Malte Olsson,Falköpings MK,4,04:08.2,18:36.4,15:03.8,14:47.3,15:40.6,,
FMCK Skövde,2023,68,Motion 50-59,1457,Magnus Persson,Götene MK,4,04:14.9,16:25.2,15:44.0,15:31.5,16:34.0,,
FMCK Skövde,2023,69,Motion 50-59,1233,Jimmy Öhlin,MK Ran,4,04:31.7,16:48.2,16:04.6,15:05.5,16:33.2,,
FMCK Skövde,2023,70,Motion 50-59,1256,Jim Larsson,Stenungsunds MS,4,04:55.9,15:04.2,16:38.1,16:11.7,17:01.7,,
FMCK Skövde,2023,71,Motion 60-,1611,Bo Karlsson,Lilla Edets MCK,4,04:56.5,16:12.2,16:05.6,16:04.5,16:34.1,,
FMCK Skövde,2023,72,Motion 50-59,1266,Roger Erlandsson,Björkö EK,4,05:28.0,15:47.8,16:34.2,16:21.3,16:44.5,,
FMCK Skövde,2023,73,Motion 60-,1512,Asbjørn Sletholt,"Utenlansk klubb, Flittig",4,05:59.4,16:34.4,16:22.0,16:00.6,17:02.2,,
FMCK Skövde,2023,74,Motion 60-,1508,Berth-Åke Åhman,FMCK Borås,4,06:01.2,16:39.6,15:46.5,15:50.6,17:44.4,,
FMCK Skövde,2023,75,Motion 60-,1515,Thomas Nilsson,Falköpings MK,4,06:42.2,17:05.7,16:58.0,15:32.4,17:05.9,,
FMCK Skövde,2023,76,Ungdom E0,20,Albin Glansén,Tidaholms MK,4,06:58.2,18:03.7,16:21.6,14:56.0,17:36.7,,
FMCK Skövde,2023,77,Motion 50-59,1223,Roger Wallgren,FMCK Skövde,4,07:03.5,15:21.9,16:43.8,15:42.4,19:15.3,,
FMCK Skövde,2023,78,Motion 50-59,1220,Lennart Bodin,FMCK Borås,4,07:05.8,16:19.0,17:02.9,16:02.3,17:41.5,,
FMCK Skövde,2023,79,Motion 60-,1500,Tommy Berndtsson,SMK Trollhättan,4,07:16.6,16:37.0,16:11.5,15:45.0,18:43.0,,
FMCK Skövde,2023,80,Motion 50-59,1275,Peter Franzén,Kortedala MK,4,07:19.5,17:17.6,16:12.1,16:07.6,17:42.0,,
FMCK Skövde,2023,81,Ungdom E0,23,William Bengtsson,Tidaholms MK,4,07:58.5,18:10.2,16:38.4,16:14.0,16:55.7,,
FMCK Skövde,2023,82,Motion 50-59,1278,Andreas Holmstrand,FMCK Borås,4,08:35.3,16:27.7,17:36.2,16:37.8,17:53.5,,
FMCK Skövde,2023,83,Motion 60-,1600,Tony Johnsson,FMCK Borås,4,08:41.3,17:20.0,16:31.4,16:15.5,18:34.2,,
FMCK Skövde,2023,84,Motion 60-,1511,Håkan Persson,MK Ran,4,08:54.3,15:45.4,17:58.3,17:02.9,18:07.6,,
FMCK Skövde,2023,85,Motion 60-,1514,Karl-Axel Andersson,FMCK Borås,4,09:06.6,19:27.9,16:37.6,16:08.3,16:52.7,,
FMCK Skövde,2023,86,Motion 50-59,1312,Christian Larsson,Ulricehamns MK,4,09:16.9,16:32.1,17:12.3,17:12.4,18:20.0,,
FMCK Skövde,2023,87,Motion 50-59,1346,Fredrik Langvall,Skene MS,4,09:27.8,16:11.7,18:00.7,16:47.5,18:27.7,,
FMCK Skövde,2023,88,Ungdom E0,12,Benjamin Bengtsson,Falköpings MK,4,09:49.6,18:28.5,16:27.6,17:36.0,17:17.3,,
FMCK Skövde,2023,89,Motion 50-59,1270,Mikael Almqvist,Lidköpings MCK,4,11:14.9,20:25.4,17:33.8,15:59.6,17:15.9,,
FMCK Skövde,2023,90,Motion 50-59,1259,Markus Hansson,FMCK Borås,4,11:28.7,15:19.3,17:54.7,17:02.1,21:12.5,,
FMCK Skövde,2023,91,Ungdom E0,2,Elvira Auvinen,FMCK Skövde,4,11:30.2,20:08.2,16:23.8,17:17.5,17:40.6,,
FMCK Skövde,2023,92,Motion 50-59,1216,Per Hedskog,SMK Trollhättan,4,12:01.2,18:55.6,17:34.4,16:43.1,18:48.0,,
FMCK Skövde,2023,93,Motion 50-59,1313,Claes Hilmersson,Stenungsunds MS,4,12:03.2,16:49.8,18:41.8,17:49.8,18:41.6,,
FMCK Skövde,2023,94,Motion 50-59,1235,Patrik Högberg,Edsvära MCK,4,13:21.8,16:56.8,17:18.5,18:33.7,20:32.5,,
FMCK Skövde,2023,95,Ungdom E0,38,Liam Nilsson,Tidaholms MK,4,13:32.4,17:05.5,20:04.7,17:55.5,18:26.5,,
FMCK Skövde,2023,96,Ungdom E0,47,Einar Sevefelt,SMK Eksjö,4,15:30.0,21:44.0,17:03.7,17:49.5,18:52.7,,
FMCK Skövde,2023,97,Motion 50-59,1249,Niklas Johansson,Kullings MS,4,15:33.5,19:40.3,18:05.2,17:49.9,19:57.9,,
FMCK Skövde,2023,98,Motion Dam,450,Louise Svensson,Götene MK,4,16:27.5,20:43.0,18:23.4,18:15.9,19:05.0,,
FMCK Skövde,2023,99,Motion 50-59,1201,Anders Edin,Falköpings MK,4,16:38.6,20:55.6,18:50.9,18:00.1,18:51.7,,
FMCK Skövde,2023,100,Ungdom E0,42,Sander Sangberg,Lidköpings MCK,4,16:43.8,21:34.6,18:23.0,17:51.5,18:54.5,,
FMCK Skövde,2023,101,Ungdom E0,27,Max Linder,FMCK Skövde,4,16:46.8,19:27.6,18:36.0,19:06.8,19:36.2,,
FMCK Skövde,2023,102,Ungdom E0,21,William Larsson,FMCK Skövde,4,17:02.4,19:28.9,22:21.8,17:58.8,17:12.8,,
FMCK Skövde,2023,103,Motion Dam,489,Lisa Skagerberg,MCK Hallandia,4,17:13.6,20:21.8,19:25.6,18:52.1,18:33.9,,
FMCK Skövde,2023,104,Motion 50-59,1273,Jan-Eric Höög,Skene MS,4,17:19.2,20:42.8,18:42.1,18:25.8,19:28.3,,
FMCK Skövde,2023,105,Motion 50-59,1252,Richard Kling,MK Pionjär,4,18:12.5,21:05.6,18:24.6,18:32.1,20:10.0,,
FMCK Skövde,2023,106,Motion 50-59,1250,Rikard Bengtsson,FMCK Borås,4,18:44.5,18:11.3,19:57.0,19:25.2,21:10.8,,
FMCK Skövde,2023,107,Motion 50-59,1212,Owe Slätt,Stenungsunds MS,4,19:06.7,20:45.5,18:28.4,19:43.9,20:08.7,,
FMCK Skövde,2023,108,Motion 60-,1697,Mats Karlsson,Kungsbacka MA,4,19:51.7,23:03.1,19:42.6,18:27.8,18:38.0,,
FMCK Skövde,2023,109,Motion 60-,1516,Jan Backelin,MK Pionjär,4,20:37.7,22:11.4,18:57.8,18:43.0,20:45.3,,
FMCK Skövde,2023,110,Motion Dam,451,Linnéa Jensmark,Solshesters MCK,4,20:57.5,21:32.3,20:01.6,19:09.9,20:13.6,,
FMCK Skövde,2023,111,Ungdom E0,24,Wilmer Nilsson,Hallsbergs MK,4,21:18.5,24:42.0,19:01.3,17:55.5,19:39.6,,
FMCK Skövde,2023,112,Ungdom E0,11,Alicia Isaksson,Falköpings MK,4,22:50.8,22:03.1,20:07.2,20:03.9,20:36.6,,
FMCK Skövde,2023,113,Motion 50-59,1473,Håkan Jägmar,Norrahammars MK,4,26:09.5,21:48.6,24:42.1,19:25.3,20:13.3,,
FMCK Skövde,2023,114,Ungdom E0,4,Gustav Midler,SMK Eksjö,4,30:35.9,21:01.8,20:36.2,22:32.4,26:25.3,,
FMCK Skövde,2023,115,Ungdom E0,28,Olle Söderberg,Falköpings MK,4,31:10.2,20:42.7,25:25.3,20:26.6,24:35.4,,
FMCK Skövde,2023,116,Motion Dam,459,Marie Gustafsson,Ulricehamns MK,4,32:05.4,22:03.5,21:06.4,24:15.0,24:40.4,,
FMCK Skövde,2023,117,Ungdom E0,90,Charlie Bergsten,SMK Värnamo,4,41:09.7,17:13.7,15:55.3,17:59.4,50:01.1,,
FMCK Skövde,2023,118,Motion 50-59,1331,Mikael Blom,Tibro MK,3,55:03.5,18:56.7,19:18.1,16:48.6,,,
FMCK Skövde,2023,119,Ungdom E0,40,Isac Tornberg,Carlsborgs MK,3,55:45.4,20:06.7,18:35.3,17:03.3,,,
FMCK Skövde,2023,120,Motion 50-59,1368,Anders Engström,Stenungsunds MS,3,02:54.8,20:48.3,20:36.6,21:29.8,,,
FMCK Skövde,2023,121,Motion 50-59,1271,Roger Nyström,FMCK Borås,3,05:37.2,23:16.6,19:43.5,22:37.0,,,
FMCK Skövde,2023,122,Ungdom E0,9,William Sköld,Falköpings MK,3,08:15.5,24:23.9,22:55.5,20:55.9,,,
FMCK Skövde,2023,123,Ungdom E0,50,Wilmer Kihlgren,Hjo MK,3,09:42.8,22:28.9,25:02.1,22:11.7,,,
FMCK Skövde,2023,124,Ungdom E0,70,Melker Kihlgren,Hjo MK,3,15:21.5,21:24.6,29:05.3,24:51.5,,,
FMCK Skövde,2023,125,Motion 60-,1510,Stefan Pettersen,Falköpings MK,3,16:44.7,21:48.9,20:50.8,34:04.9,,,
FMCK Skövde,2023,126,Motion 50-59,1213,Lars Nilsson,BMK Uddevalla,2,33:16.9,15:51.5,17:25.3,,,,
FMCK Skövde,2023,127,Motion 50-59,1272,Johan Thorn,Beskaskinn MC,2,38:10.2,18:04.0,20:06.2,,,,
FMCK Skövde,2023,128,Motion Dam,458,Katja Bengtsson,Falköpings MK,2,44:20.6,22:49.8,21:30.8,,,,
FMCK Skövde,2023,129,Motion 50-59,1264,Tommy Johansson,Skene MS,2,46:14.8,21:25.2,24:49.6,,,,
FMCK Skövde,2023,130,Motion 60-,1507,Thomas Gustafsson,Älvbygdens MK,2,47:29.6,24:21.4,23:08.2,,,,
FMCK Skövde,2023,131,Motion 50-59,1288,Hans Gustafsson,Tibro MK,2,50:12.6,22:35.9,27:36.6,,,,
FMCK Skövde,2023,132,Ungdom E0,58,Alice Wahlström,Hallsbergs MK,2,51:06.8,24:34.6,26:32.2,,,,
FMCK Skövde,2023,133,Motion 50-59,1224,Jesper Kulin,Kullings MS,1,17:42.5,17:42.5,,,,,
FMCK Skövde,2023,134,Motion 50-59,1290,Peter Andersson,FMCK Borås,1,18:40.6,18:40.6,,,,,
FMCK Skövde,2023,135,Motion 50-59,1246,Claes Gustafsson,Töreboda MK,1,22:15.6,22:15.6,,,,,
FMCK Skövde,2023,136,Motion 60-,1555,Bengt Ekdahl,FMCK Borås,1,23:21.7,23:21.7,,,,,
FMCK Skövde,2023,137,Motion Dam,454,Agnes Kindgren,SMK Eksjö,1,29:24.9,29:24.9,,,,,
FMCK Skövde,2023,,Motion 50-59,1211,Mats Johansson,Götene MK,0,00:00.0,BRUTIT,,,,,
FMCK Skövde,2023,1,Senior,1,Albin Elowson,FMCK Skövde,6,02:44.8,9:43.3,10:28.4,9:54.0,10:39.4,10:34.9,11:24.6
FMCK Skövde,2023,2,Senior,6,Oskar Ljungström,Falköpings MK,6,05:06.5,10:01.1,10:48.1,10:24.3,11:06.4,11:01.3,11:45.1
FMCK Skövde,2023,3,Junior,182,Arvid Karlsson,FMCK Skövde,6,07:22.3,10:46.2,11:12.8,10:45.2,11:25.1,11:23.1,11:49.7
FMCK Skövde,2023,4,Senior,20,Robert Friberg,FMCK Skövde,6,07:31.5,10:43.4,11:19.3,10:47.3,11:37.5,11:18.4,11:45.3
FMCK Skövde,2023,5,Senior,35,Erik Wahlström,FMCK Skövde,6,08:27.4,10:41.9,11:21.3,11:04.9,11:38.3,11:36.5,12:04.4
FMCK Skövde,2023,6,Junior,186,Alvin Ceder,Götene MK,6,09:07.6,10:45.9,11:59.0,10:54.9,11:59.1,11:12.0,12:16.5
FMCK Skövde,2023,7,Senior,5,Nisse Bengtsson,Tidaholms MK,6,09:12.2,10:24.9,11:38.0,11:04.1,11:50.6,11:29.7,12:44.6
FMCK Skövde,2023,8,Senior,12,Magnus Thor,Battle of Vikings Sportförening,6,09:28.1,11:09.4,11:40.4,11:12.9,11:55.2,11:20.4,12:09.4
FMCK Skövde,2023,9,Senior,78,Adam Fast,SMK Vingåker,6,09:57.8,10:54.2,11:17.7,11:28.5,11:56.9,11:21.7,12:58.5
FMCK Skövde,2023,10,Junior,141,Håkon Nohr,Borg mc klubb,6,10:00.1,11:01.8,11:36.7,11:10.0,11:45.5,11:49.0,12:36.9
FMCK Skövde,2023,11,Senior,40,Anton Nordh,FMCK Skövde,6,10:18.1,10:50.9,11:58.6,11:05.5,11:51.6,11:56.8,12:34.4
FMCK Skövde,2023,12,Senior,4,Max Erlandsson,Falköpings MK,6,10:38.5,11:54.9,11:34.3,11:13.9,12:23.5,11:37.4,11:54.2
FMCK Skövde,2023,13,Senior,39,Gustav Mähler,Solshesters MCK,6,10:40.3,10:51.7,11:39.8,11:18.8,12:06.4,12:04.6,12:38.8
FMCK Skövde,2023,14,Senior,50,Anders Eriksson,Tibro MK,6,10:49.7,10:52.1,11:43.5,11:21.5,12:22.4,11:55.7,12:34.1
FMCK Skövde,2023,15,Senior,52,Emil Gustavsson,Tibro MK,6,10:51.9,10:54.8,11:48.8,11:39.0,12:31.7,11:37.4,12:20.0
FMCK Skövde,2023,16,Senior,21,Rasmus Andersson,MK Orion,6,11:12.2,11:21.3,12:41.2,11:15.8,11:58.3,11:28.0,12:27.3
FMCK Skövde,2023,17,Junior,144,Viking Lindström,MK Orion,6,11:20.7,10:32.1,12:09.5,11:09.3,12:16.0,11:58.0,13:15.6
FMCK Skövde,2023,18,Junior,174,André Blohmé,FMCK Hässleholm,6,11:32.7,10:47.9,11:54.6,11:18.2,12:37.4,11:55.9,12:58.5
FMCK Skövde,2023,19,Junior,105,Hugo Svensson,Vimmerby MS,6,11:48.6,11:04.7,12:08.5,11:25.0,12:17.8,11:59.4,12:53.0
FMCK Skövde,2023,20,Junior,137,Alfred Karlsson,FMCK Skövde,6,12:04.8,11:58.5,12:16.7,11:32.5,12:14.7,11:37.1,12:25.2
FMCK Skövde,2023,21,Junior,179,Kalle Hindström,Tibro MK,6,12:11.2,11:29.8,11:46.0,11:11.7,12:48.5,11:50.9,13:04.1
FMCK Skövde,2023,22,Junior,125,Oliver Önnefors,FMCK Skövde,6,12:12.8,11:01.1,12:11.4,11:29.1,13:00.5,11:51.1,12:39.4
FMCK Skövde,2023,23,Junior,110,Carl Olsson,FMCK Skövde,6,13:15.2,11:30.6,12:27.3,11:49.4,12:38.2,11:53.4,12:56.1
FMCK Skövde,2023,24,Junior,187,Herman Aaslestad Ask,Lier MSK,6,13:29.3,10:54.2,12:13.4,12:04.9,12:43.3,12:07.0,13:26.2
FMCK Skövde,2023,25,Junior,119,Robin Stjernström,Vimmerby MS,6,13:53.0,13:23.2,12:14.0,11:30.6,12:15.4,11:47.1,12:42.5
FMCK Skövde,2023,26,Junior,120,Edvin Hagman,Falköpings MK,6,14:10.1,12:22.7,12:22.8,11:27.7,12:17.8,11:59.4,13:39.5
FMCK Skövde,2023,27,Junior,100,Edvin Wiberg,Solshesters MCK,6,14:25.8,11:42.4,12:26.3,11:50.9,12:54.6,12:17.0,13:14.3
FMCK Skövde,2023,28,Senior,29,Fredrik Theorell,Tibro MK,6,15:26.9,11:59.1,12:36.0,11:47.5,12:58.5,12:12.6,13:52.9
FMCK Skövde,2023,29,Junior,171,Sixten Lundgren,Norrahammars MK,6,15:50.2,11:15.3,12:52.6,11:42.2,13:34.3,12:21.2,14:04.3
FMCK Skövde,2023,30,Junior,149,Linus Knutsson,Falköpings MK,6,16:33.5,11:42.2,12:41.0,11:58.6,13:56.5,12:33.0,13:41.9
FMCK Skövde,2023,31,Senior,71,Hampus Högström,Norrahammars MK,6,17:18.6,11:39.7,13:02.2,12:41.1,13:16.6,13:05.4,13:33.4
FMCK Skövde,2023,32,Senior,18,Aleksander Kalbekkdalen,Notodden Crossklubb,6,17:28.1,11:51.3,13:13.9,12:24.1,13:19.7,12:37.9,14:00.9
FMCK Skövde,2023,33,Junior,146,Markus Carlbom,FMCK Skövde,6,17:40.3,11:41.0,13:09.4,12:37.4,13:35.3,12:40.0,13:57.1
FMCK Skövde,2023,34,Junior,121,Carl Nydén,SMK Värnamo,6,17:47.7,11:58.6,12:55.7,12:13.0,13:36.9,12:41.5,14:21.7
FMCK Skövde,2023,35,Senior,97,Rasmus Andersson,Götene MK,6,18:07.7,12:28.1,12:49.2,12:25.2,13:23.7,12:57.1,14:04.2
FMCK Skövde,2023,36,Junior,107,Lukas Engerstad,Skene MS,6,19:29.2,12:07.6,12:52.5,12:19.1,14:03.6,13:12.5,14:53.7
FMCK Skövde,2023,37,Junior,118,Emil Mann,Falköpings MK,6,19:49.8,11:59.6,13:27.2,12:13.2,14:38.5,13:17.7,14:13.2
FMCK Skövde,2023,38,Junior,101,Arvid Petersson,Tranemo MK,6,20:15.3,12:17.0,13:25.5,13:09.7,13:52.0,13:16.2,14:14.6
FMCK Skövde,2023,39,Senior,11,Lucas Holgersson,MC Alingsås,6,21:07.0,12:11.9,13:22.6,13:07.7,14:09.5,13:21.2,14:53.8
FMCK Skövde,2023,40,Junior,114,Melvin Blom,Bodafors MK,6,21:38.5,12:48.2,13:40.1,13:17.8,14:03.7,13:40.4,14:08.0
FMCK Skövde,2023,41,Senior,65,Christoffer Mars,Sotenäs MCC,6,22:54.4,12:33.6,13:53.8,13:09.4,13:54.3,14:16.3,15:06.8
FMCK Skövde,2023,42,Junior,112,Viggo Johansson,SMK Eksjö,6,26:22.5,13:17.2,14:16.5,14:11.6,14:41.2,14:24.0,15:31.7
FMCK Skövde,2023,43,Junior,116,Emil Palm,Björkö EK,6,28:44.7,14:11.1,15:40.3,14:02.9,14:19.8,13:51.6,16:38.7
FMCK Skövde,2023,44,Junior,103,Arvid Hellqvist,Töreboda MK,6,30:58.0,13:10.3,15:22.2,15:17.0,16:08.2,14:45.8,16:14.2
FMCK Skövde,2023,45,Junior,145,Ludvig Hamberg,FMCK Skövde,6,32:48.6,12:58.9,14:43.7,13:44.6,14:19.6,15:48.0,21:13.6
FMCK Skövde,2023,46,Senior,10,Karsten Hyllestad,Sotenäs,6,33:14.7,16:07.1,14:54.7,14:29.5,15:49.6,15:07.8,16:45.7
FMCK Skövde,2023,47,Bredd,214,Magnus Blom,Bodafors MK,5,01:10.8,11:30.3,12:33.1,12:05.1,12:34.7,12:27.4,
FMCK Skövde,2023,48,Bredd,222,Sebastian Lundblad,Falköpings MK,5,01:31.6,11:50.9,12:27.8,12:02.3,12:46.5,12:23.8,
FMCK Skövde,2023,49,Bredd,245,Andreas Toresson,Lilla Edets MCK,5,01:45.0,11:26.7,12:32.9,12:04.2,13:04.1,12:37.0,
FMCK Skövde,2023,50,Bredd,201,Eddie Bergman,Tibro MK,5,03:13.8,11:50.0,12:59.3,12:08.8,13:23.7,12:51.8,
FMCK Skövde,2023,51,Junior,111,Marcel Tara,Tibro MK,5,04:02.5,11:15.3,11:45.1,11:24.2,12:16.0,17:21.8,
FMCK Skövde,2023,52,Bredd,202,Max Wennerlund,Tranås MS,5,04:12.5,12:16.5,13:02.5,12:43.4,13:29.3,12:40.6,
FMCK Skövde,2023,53,Bredd,215,Philip Landh,SMK Trollhättan,5,04:42.4,12:18.2,13:37.0,12:33.5,13:22.2,12:51.3,
FMCK Skövde,2023,54,Bredd,210,Melvin Bernström,Carlsborgs MK,5,05:01.7,12:29.8,13:08.4,12:55.2,13:32.5,12:55.5,
FMCK Skövde,2023,55,Bredd,250,Tobias Olofsson,Varbergs MK,5,06:24.5,12:43.9,13:47.3,12:49.8,13:55.2,13:08.1,
FMCK Skövde,2023,56,Bredd,265,Per Wikvist,Hallsbergs MK,5,06:27.1,12:58.1,13:36.2,12:43.8,14:08.9,13:00.0,
FMCK Skövde,2023,57,Bredd,228,Mikael Wiberg,Hallsbergs MK,5,07:31.4,12:59.9,14:03.3,12:51.0,14:03.5,13:33.6,
FMCK Skövde,2023,58,Bredd,206,Rikard Andersson,SMK Värnamo,5,07:40.0,12:05.2,13:55.8,13:23.0,14:20.3,13:55.5,
FMCK Skövde,2023,59,Bredd,332,Ulf Åström,Wäxjö MS,5,09:01.2,12:57.7,13:53.0,13:52.9,14:08.4,14:09.1,
FMCK Skövde,2023,60,Bredd,213,Björn Levin,Kinna MK,5,10:09.0,14:13.8,14:06.7,13:29.3,14:27.6,13:51.4,
FMCK Skövde,2023,61,Dam,401,Linnéa Åkesson,FMCK Skövde,5,11:22.9,13:21.5,14:41.8,13:41.1,15:38.6,13:59.8,
FMCK Skövde,2023,62,Bredd,271,Håkan Gustafsson,Alingsås MCK,5,12:44.7,13:56.2,14:47.7,14:07.2,15:15.4,14:38.0,
FMCK Skövde,2023,63,Bredd,220,Harald Lindholm,Älvbygdens MK,5,14:08.7,14:00.1,15:29.4,14:41.8,15:05.2,14:52.0,
FMCK Skövde,2023,64,Bredd,333,Peter Lundin,Norrahammars MK,5,14:16.9,13:43.0,15:00.5,14:25.5,16:10.5,14:57.3,
FMCK Skövde,2023,65,Bredd,256,Emil Hermansson,MC Alingsås,5,15:09.0,14:03.2,15:32.5,14:50.6,15:49.7,14:52.8,
FMCK Skövde,2023,66,Bredd,200,Andreas Josefsson,Falköpings MK,5,15:09.8,13:28.5,15:13.3,14:17.6,15:51.6,16:18.6,
FMCK Skövde,2023,67,Bredd,218,Jonathan Petersson,SMK Trollhättan,5,16:35.7,14:11.1,15:50.3,15:02.3,16:23.1,15:08.6,
FMCK Skövde,2023,68,Bredd,243,Joel Rådberg,SMK Trollhättan,5,18:39.2,14:24.7,15:43.6,16:00.3,17:06.4,15:24.1,
FMCK Skövde,2023,69,Dam,441,Hilda Sjöberg,Tibro MK,5,23:43.8,17:40.9,17:57.8,15:01.4,16:39.6,16:23.9,
FMCK Skövde,2023,70,Bredd,254,Johan Sigby,Norrahammars MK,5,25:11.9,16:32.0,17:01.0,16:08.9,18:06.4,17:23.5,
FMCK Skövde,2023,71,Bredd,234,Patrik Kerttu,Kortedala MK,5,30:23.4,15:31.7,17:01.8,19:18.9,19:28.5,19:02.2,
FMCK Skövde,2023,72,Junior,172,Alexander Andersson,Tranemo MK,5,35:10.1,15:15.5,19:56.3,20:51.3,18:36.3,20:30.5,
FMCK Skövde,2023,73,Dam,415,emelie johansson,Götene MK,5,35:10.7,16:57.2,18:23.7,18:27.1,21:42.5,19:40.1,
FMCK Skövde,2023,74,Bredd,311,Johan Wolgers,FMCK Borås,5,37:50.4,17:19.6,19:14.0,19:21.9,22:53.3,19:01.4,
FMCK Skövde,2023,75,Bredd,212,Melker Djurstedt,Djursdala SK,5,38:00.3,18:05.6,18:47.6,19:28.8,21:06.1,20:32.0,
FMCK Skövde,2023,76,Junior,134,Max Nordmark,Varbergs MK,5,41:12.0,18:03.4,20:16.0,19:40.8,24:25.6,18:46.0,
FMCK Skövde,2023,77,Bredd,336,Andreas Johansson,Carlsborgs MK,4,55:53.0,12:53.4,13:45.7,13:23.5,15:50.3,,
FMCK Skövde,2023,78,Bredd,269,Albin Bäckström Herbertsson,Säffle MCK,4,04:29.8,15:12.4,16:14.6,15:22.8,17:39.8,,
FMCK Skövde,2023,79,Dam,407,Matilda Alexandersson Fridolfsson,Götene MK,4,24:21.2,19:32.6,19:41.8,20:25.9,24:40.7,,
FMCK Skövde,2023,80,Dam,400,Moa Hammarbom,Nynäshamns MCK,4,31:03.7,20:51.7,18:07.4,23:28.6,28:35.8,,
FMCK Skövde,2023,81,Junior,154,Ludvig Nykvist,Solshesters MCK,3,37:21.8,11:55.3,12:59.0,12:27.5,,,
FMCK Skövde,2023,82,Junior,173,Linus Lamberg,Tibro MK,3,38:05.8,12:53.6,13:03.0,12:09.1,,,
FMCK Skövde,2023,83,Junior,190,Mattias Cöster,SMK Östgöta,3,39:20.6,12:25.6,13:45.1,13:09.8,,,
FMCK Skövde,2023,84,Bredd,1207,Marcus Olsson,Kullings MS,3,47:37.0,15:44.1,16:15.3,15:37.6,,,
FMCK Skövde,2023,85,Dam,429,Tilda Mehtonen,FMCK Skövde,3,01:52.7,17:10.3,24:02.9,20:39.5,,,
